filename,title,old_tags,new_tags,change_type,top_scores
1password.md,1Password,Product,Product,unchanged,
2021-01-reading.md,2021 年 1 月阅读,Reading,Reading,unchanged,
2021-02-reading.md,2021 年 2 月阅读,Reading,Reading,unchanged,
2021-03-reading.md,2021 年 3 月阅读,Reading,Reading,unchanged,
2021-04-reading.md,2021 年 4 月阅读,Reading,Reading,unchanged,
2021-05-reading.md,2021 年 5 月阅读,Reading,Reading,unchanged,
2021-06-reading.md,2021 年 6 月阅读,Reading,Reading,unchanged,
2021-07-reading.md,2021 年 7 月阅读,Reading,Reading,unchanged,
2021-08-reading.md,2021 年 8 月阅读,Reading,Reading,unchanged,
2021-09-reading.md,2021 年 9 月阅读,Reading,Reading,unchanged,
2021-10-reading.md,2021 年 10 月阅读,Reading,Reading,unchanged,
2021-11-reading.md,2021 年 11 月阅读,Reading,Reading,unchanged,
2021-12-reading.md,2021 年 12 月阅读,Reading,Reading,unchanged,
2021-book-recommendations.md,2021 好书推荐,WeChat,WeChat|Reading,scored,"Reading=10, Investment=3, Security=1"
2022-01-reading.md,2022 年 1 月阅读,Reading,Reading,unchanged,
2022-02-reading.md,2022 年 2 月阅读,Reading,Reading,unchanged,
2022-03-reading.md,2022 年 3 月阅读,Reading,Reading,unchanged,
2022-04-reading.md,2022 年 4 月阅读,Reading,Reading,unchanged,
2022-05-reading.md,2022 年 5 月阅读,Reading,Reading,unchanged,
2022-06-reading.md,2022 年 6 月阅读,Reading,Reading,unchanged,
2022-07-reading.md,2022 年 7 月阅读,Reading,Reading,unchanged,
2022-08-reading.md,2022 年 8 月阅读,Reading,Reading,unchanged,
2022-09-reading.md,2022 年 9 月阅读,Reading,Reading,unchanged,
2022-10-reading.md,2022 年 10 月阅读,Reading,Reading,unchanged,
2022-11-reading.md,2022 年 11 月阅读,Reading,Reading,unchanged,
2022-12-reading.md,2022 年 12 月阅读,Reading,Reading,unchanged,
2022-in-review.md,回顾 2022：天地本宽，岁月本长,WeChat,WeChat|Reading|Investment,scored,"Reading=5, Investment=4, Tools=3"
2023-01-reading.md,2023 年 1 月阅读,Reading,Reading,unchanged,
2023-02-reading.md,2023 年 2 月阅读,Reading,Reading,unchanged,
2023-03-reading.md,2023 年 3 月阅读,Reading,Reading,unchanged,
2023-04-reading.md,2023 年 4 月阅读,Reading,Reading,unchanged,
2023-05-reading.md,2023 年 5 月阅读,Reading,Reading,unchanged,
2023-06-reading.md,2023 年 6 月阅读,Reading,Reading,unchanged,
2023-07-reading.md,2023 年 7 月阅读,Reading,Reading,unchanged,
2023-08-reading.md,2023 年 8 月阅读,Reading,Reading,unchanged,
2023-09-reading.md,2023 年 9 月阅读,Reading,Reading,unchanged,
2023-10-reading.md,2023 年 10 月阅读,Reading,Reading,unchanged,
2023-11-reading.md,2023 年 11 月阅读,Reading,Reading,unchanged,
2023-12-reading.md,2023 年 12 月阅读,Reading,Reading,unchanged,
2024-01-reading.md,2024 年 1 月阅读,Reading,Reading,unchanged,
2024-02-reading.md,2024 年 2 月阅读,Reading,Reading,unchanged,
2024-03-reading.md,2024 年 3 月阅读,Reading,Reading,unchanged,
2024-04-reading.md,2024 年 4 月阅读,Reading,Reading,unchanged,
